##Birth 

Due date | Mother status | M: Continuity | M: E&E | Partner status | P: Continuity | P: E&E | Outcome
-|-
05/04/2015 |self-employed | |✔ | | | |- Maternity allowance
05/04/2015 |unemployed | |✔ | | | |- Maternity allowance
05/04/2014 |self-employed | |✔ | | | |- Maternity allowance
05/04/2014 |unemployed | |✔ | | | |- Maternity allowance
05/04/2015 |self-employed | |✔ |self-employed | | |- Maternity allowance
05/04/2015 |self-employed | |✔ |unemployed | | |- Maternity allowance
05/04/2015 |unemployed | |✔ |self-employed | | |- Maternity allowance
05/04/2015 |unemployed | |✔ |unemployed | | |- Maternity allowance
05/04/2014 |self-employed | |✔ |self-employed | | |- Maternity allowance
05/04/2014 |self-employed | |✔ |unemployed | | |- Maternity allowance
05/04/2014 |unemployed | |✔ |self-employed | | |- Maternity allowance
05/04/2014 |unemployed | |✔ |unemployed | | |- Maternity allowance
05/04/2015 |employee | |✔ |unemployed | | |- Maternity allowance
05/04/2015 |worker | |✔ |unemployed | | |- Maternity allowance
05/04/2015 |agency | |✔ |unemployed | | |- Maternity allowance
05/04/2014 |employee | |✔ |unemployed | | |- Maternity allowance
05/04/2014 |worker | |✔ |unemployed | | |- Maternity allowance
05/04/2014 |agency | |✔ |unemployed | | |- Maternity allowance
05/04/2015 |employee | |✔ |self-employed | | |- Maternity allowance
05/04/2015 |worker | |✔ |self-employed | | |- Maternity allowance
05/04/2015 |agency | |✔ |self-employed | | |- Maternity allowance
05/04/2015 |self-employed | |✔ |employee | | |- Maternity allowance
05/04/2015 |self-employed | |✔ |worker | | |- Maternity allowance
05/04/2015 |self-employed | |✔ |agency | | |- Maternity allowance
05/04/2015 |unemployed | |✔ |employee | | |- Maternity allowance
05/04/2015 |unemployed | |✔ |worker | | |- Maternity allowance
05/04/2015 |unemployed | |✔ |agency | | |- Maternity allowance
05/04/2014 |employee | |✔ |self-employed | | |- Maternity allowance
05/04/2014 |worker | |✔ |self-employed | | |- Maternity allowance
05/04/2014 |agency | |✔ |self-employed | | |- Maternity allowance
05/04/2014 |self-employed | |✔ |employee | | |- Maternity allowance
05/04/2014 |self-employed | |✔ |worker | | |- Maternity allowance
05/04/2014 |self-employed | |✔ |agency | | |- Maternity allowance
05/04/2014 |unemployed | |✔ |employee | | |- Maternity allowance
05/04/2014 |unemployed | |✔ |worker | | |- Maternity allowance
05/04/2014 |unemployed | |✔ |agency | | |- Maternity allowance
05/04/2015 |employee | |✔ |employee | | |- Maternity allowance
05/04/2015 |employee | |✔ |worker | | |- Maternity allowance
05/04/2015 |employee | |✔ |agency | | |- Maternity allowance
05/04/2015 |worker | |✔ |employee | | |- Maternity allowance
05/04/2015 |worker | |✔ |worker | | |- Maternity allowance
05/04/2015 |worker | |✔ |agency | | |- Maternity allowance
05/04/2015 |agency | |✔ |employee | | |- Maternity allowance
05/04/2015 |agency | |✔ |worker | | |- Maternity allowance
05/04/2015 |agency | |✔ |agency | | |- Maternity allowance
05/04/2014 |employee | |✔ |employee | | |- Maternity allowance
05/04/2014 |employee | |✔ |worker | | |- Maternity allowance
05/04/2014 |employee | |✔ |agency | | |- Maternity allowance
05/04/2014 |worker | |✔ |employee | | |- Maternity allowance
05/04/2014 |worker | |✔ |worker | | |- Maternity allowance
05/04/2014 |worker | |✔ |agency | | |- Maternity allowance
05/04/2014 |agency | |✔ |employee | | |- Maternity allowance
05/04/2014 |agency | |✔ |worker | | |- Maternity allowance
05/04/2014 |agency | |✔ |agency | | |- Maternity allowance
05/04/2015 |self-employed | |✘ |agency | | |- Nothing
05/04/2015 |unemployed | |✘ |agency | | |- Nothing
05/04/2014 |self-employed | |✘ |agency | | |- Nothing
05/04/2014 |unemployed | |✘ |agency | | |- Nothing
05/04/2015 |self-employed | |✘ |self-employed | | |- Nothing
05/04/2015 |self-employed | |✘ |unemployed | | |- Nothing
05/04/2014 |self-employed | |✘ |self-employed | | |- Nothing
05/04/2014 |self-employed | |✘ |unemployed | | |- Nothing
05/04/2015 |employee | |✘ |unemployed | | |- Nothing
05/04/2015 |worker | |✘ |unemployed | | |- Nothing
05/04/2015 |agency | |✘ |unemployed | | |- Nothing
05/04/2014 |employee | |✘ |unemployed | | |- Nothing
05/04/2014 |worker | |✘ |unemployed | | |- Nothing
05/04/2014 |agency | |✘ |unemployed | | |- Nothing
05/04/2015 |employee | |✘ |self-employed | | |- Nothing
05/04/2015 |worker | |✘ |self-employed | | |- Nothing
05/04/2015 |agency | |✘ |self-employed | | |- Nothing
05/04/2015 |self-employed | |✘ |employee | | |- Nothing
05/04/2015 |self-employed | |✘ |worker | | |- Nothing
05/04/2015 |unemployed | |✘ |employee | | |- Nothing
05/04/2015 |unemployed | |✘ |worker | | |- Nothing
05/04/2014 |employee | |✘ |self-employed | | |- Nothing
05/04/2014 |worker | |✘ |self-employed | | |- Nothing
05/04/2014 |agency | |✘ |self-employed | | |- Nothing
05/04/2014 |self-employed | |✘ |employee | | |- Nothing
05/04/2014 |self-employed | |✘ |worker | | |- Nothing
05/04/2014 |unemployed | |✘ |employee | | |- Nothing
05/04/2014 |unemployed | |✘ |worker | | |- Nothing
05/04/2015 |employee | |✘ |employee | | |- Nothing
05/04/2015 |employee | |✘ |worker | | |- Nothing
05/04/2015 |employee | |✘ |agency | | |- Nothing
05/04/2015 |worker | |✘ |employee | | |- Nothing
05/04/2015 |worker | |✘ |worker | | |- Nothing
05/04/2015 |worker | |✘ |agency | | |- Nothing
05/04/2015 |agency | |✘ |employee | | |- Nothing
05/04/2015 |agency | |✘ |worker | | |- Nothing
05/04/2015 |agency | |✘ |agency | | |- Nothing
05/04/2014 |employee | |✘ |employee | | |- Nothing
05/04/2014 |employee | |✘ |worker | | |- Nothing
05/04/2014 |employee | |✘ |agency | | |- Nothing
05/04/2014 |worker | |✘ |employee | | |- Nothing
05/04/2014 |worker | |✘ |worker | | |- Nothing
05/04/2014 |worker | |✘ |agency | | |- Nothing
05/04/2014 |agency | |✘ |employee | | |- Nothing
05/04/2014 |agency | |✘ |worker | | |- Nothing
05/04/2014 |agency | |✘ |agency | | |- Nothing
05/04/2015 |unemployed | |✘ |self-employed | | |- Maternity allowance 14 weeks
05/04/2015 |unemployed | |✘ |unemployed | | |- Maternity allowance 14 weeks
05/04/2014 |unemployed | |✘ |self-employed | | |- Maternity allowance 14 weeks
05/04/2014 |unemployed | |✘ |unemployed | | |- Maternity allowance 14 weeks
05/04/2015 |employee |✔ |✘ |unemployed | | |- Maternity leave<br>- Maternity pay
05/04/2015 |worker |✔ |✘ |unemployed | | |- Maternity leave<br>- Maternity pay
